product_code,product_name,price,stock_quantity,description,image_url,ingredient1,ingredient2,ingredient3,ingredient4,ingredient5
P001,아메리카노_HOT,3500,,고소한 원두로 추출한 따뜻한 아메리카노입니다.,,원두,,,,
P002,연유라떼_HOT,4800,,연유의 달콤함을 더한 따뜻한 라떼입니다.,,원두,일반 우유,연유,,
P003,바닐라라떼_HOT,4700,,바닐라 향을 더한 따뜻한 라떼입니다.,,원두,일반 우유,바닐라 시럽,,
P004,카라멜마끼아토_HOT,5000,,카라멜 풍미를 살린 따뜻한 마끼아토입니다.,,원두,일반 우유,카라멜 시럽,카라멜소스,
P010,아메리카노_ICE,3500,,고소한 원두로 추출한 시원한 아메리카노입니다.,,원두,,,,
P011,연유라떼_ICE,4800,,연유의 달콤함을 더한 시원한 라떼입니다.,,원두,일반 우유,연유,,
P019,아이스티_HOT,3800,,달콤한 복숭아 풍미의 따뜻한 아이스티입니다.,,아이스티,,,,
P020,녹차_HOT,3500,,은은한 향의 따뜻한 녹차입니다.,,녹차 티백,,,,
P021,유자차_HOT,4000,,상큼한 유자 풍미의 따뜻한 차입니다.,,유자차,,,,
P022,허브차_HOT,3800,,향긋한 허브 향을 즐기는 따뜻한 차입니다.,,허브차 티백,,,,
P023,홍차_HOT,3800,,깊은 향을 담은 따뜻한 홍차입니다.,,홍차 티백,,,,
P024,아이스티_ICE,3800,,달콤한 복숭아 풍미의 시원한 아이스티입니다.,,아이스티,,,,
P025,녹차_ICE,3500,,깔끔하게 즐기는 시원한 녹차입니다.,,녹차 티백,,,,
P026,유자차_ICE,4000,,상큼한 유자 풍미의 시원한 차입니다.,,유자차,,,,
P027,허브차_ICE,3800,,향긋한 허브 향을 즐기는 시원한 차입니다.,,허브차 티백,,,,
P028,홍차_ICE,3800,,깊은 향을 담은 시원한 홍차입니다.,,홍차 티백,,,,
P029,토피넛라떼_HOT,4900,,고소한 토피넛 풍미의 따뜻한 라떼입니다.,,원두,일반 우유,토피넛파우더,,
P030,고구마라떼_HOT,4700,,달콤하고 부드러운 따뜻한 고구마라떼입니다.,,일반 우유,고구마파우더,,,
P031,초코라떼_HOT,4600,,진한 초콜릿 풍미의 따뜻한 라떼입니다.,,일반 우유,초코파우더,초코시럽,,
P032,토피넛라떼_ICE,4900,,고소한 토피넛 풍미의 시원한 라떼입니다.,,원두,일반 우유,토피넛파우더,,
P033,고구마라떼_ICE,4700,,달콤하고 부드러운 시원한 고구마라떼입니다.,,일반 우유,고구마파우더,,,
P034,초코라떼_ICE,4600,,진한 초콜릿 풍미의 시원한 라떼입니다.,,일반 우유,초코파우더,초코시럽,,
P035,시그니처 블렌드 원두 500g,18000,20,매장의 시그니처 블렌드를 담은 500g 원두 상품입니다.,,시그니처 블렌드 원두 500g,,,,
P036,디카페인 원두 500g,20000,15,카페인 부담을 낮춘 500g 디카페인 원두 상품입니다.,,디카페인 원두 500g,,,,
P037,버터 크루아상,3800,30,고소한 버터 풍미와 바삭한 결을 살린 크루아상입니다.,,버터 크루아상,,,,
P038,소금빵,3200,30,짭짤한 소금과 버터의 풍미를 살린 소금빵입니다.,,소금빵,,,,
P039,초코칩 쿠키,2800,25,초코칩을 넣어 바삭하게 구운 쿠키입니다.,,초코칩 쿠키,,,,
P040,플레인 스콘,3500,20,담백하고 고소한 플레인 스콘입니다.,,플레인 스콘,,,,
P041,생수 500ml,1500,50,휴대하기 편한 500ml 생수입니다.,,생수 500ml,,,,
P042,콜드브루 병음료,5500,20,차갑게 숙성한 콜드브루 병음료입니다.,,콜드브루 병음료,,,,
P043,과일 캔디,2500,40,다양한 과일 맛을 담은 캔디입니다.,,과일 캔디,,,,
P044,다크 초콜릿,3500,35,진한 카카오 풍미의 다크 초콜릿입니다.,,다크 초콜릿,,,,
